iso3,country,disaggregation,disagg.value,region,subregion,section,diarrhea_zinc_2005,diarrhea_zinc_2006,diarrhea_zinc_2007,diarrhea_zinc_2008,diarrhea_zinc_2009,diarrhea_zinc_2010,diarrhea_zinc_2011,diarrhea_zinc_2012,diarrhea_zinc_2013,diarrhea_zinc_2014,diarrhea_zinc_2015,diarrhea_zinc_2016,diarrhea_zinc_2017,diarrhea_zinc_2018,diarrhea_zinc_2019,diarrhea_zinc_2020,vit_a_2000,vit_a_2001,vit_a_2002,vit_a_2003,vit_a_2004,vit_a_2005,vit_a_2006,vit_a_2007,vit_a_2008,vit_a_2009,vit_a_2010,vit_a_2011,vit_a_2012,vit_a_2013,vit_a_2014,vit_a_2015,vit_a_2016,vit_a_2017,vit_a_2018,iron_supp_2004,iron_supp_2005,iron_supp_2006,iron_supp_2007,iron_supp_2008,iron_supp_2009,iron_supp_2010,iron_supp_2011,iron_supp_2012,iron_supp_2013,iron_supp_2014,iron_supp_2015,iron_supp_2016,iron_supp_2017,iron_supp_2018,iron_supp_2019,iron_tablets_2000,iron_tablets_2001,iron_tablets_2002,iron_tablets_2003,iron_tablets_2004,iron_tablets_2005,iron_tablets_2006,iron_tablets_2007,iron_tablets_2008,iron_tablets_2009,iron_tablets_2010,iron_tablets_2011,iron_tablets_2012,iron_tablets_2013,iron_tablets_2014,iron_tablets_2015,iron_tablets_2016,iron_tablets_2017,iron_tablets_2018,iron_tablets_2019,iodised_salt_2000,iodised_salt_2001,iodised_salt_2002,iodised_salt_2003,iodised_salt_2004,iodised_salt_2005,iodised_salt_2006,iodised_salt_2007,iodised_salt_2008,iodised_salt_2009,iodised_salt_2010,iodised_salt_2011,iodised_salt_2012,iodised_salt_2013,iodised_salt_2014,iodised_salt_2015,iodised_salt_2016,iodised_salt_2017,iodised_salt_2018
CPV,Cabo Verde,wealth,Second highest,Africa,Western Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,Cabo Verde,wealth,Second lowest,Africa,Western Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,education,None,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,education,Primary,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,education,Secondary or higher,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,location,Rural,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,location,Urban,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,sex,Female,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,sex,Male,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,total,Total,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,wealth,Highest,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,wealth,Lowest,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,wealth,Middle,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,wealth,Second highest,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,wealth,Second lowest,Latin America and the Caribbean,Central America,Intervention coverage,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,education,None,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,education,Primary,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,education,Secondary or higher,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,1.8,,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,location,Rural,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,1.1,,,10.6,,,,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,location,Urban,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,2.3,,,30.4,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,sex,Female,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,1.7,,,7.8,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,sex,Male,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,1.1,,,22.2,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,total,Total,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,1.3,,,17.3,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,wealth,Highest,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,wealth,Lowest,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,wealth,Middle,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,wealth,Second highest,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,wealth,Second lowest,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,location,Rural,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,,,,,,,,
DJI,Djibouti,location,Urban,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,
DJI,Djibouti,sex,Female,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,
DJI,Djibouti,sex,Male,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,
DJI,Djibouti,total,Total,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,-,-,-,9,-,0,15,94,86,94,95,95,88,66,-,72,78,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,,,,,,,,,,,,
DJI,Djibouti,wealth,Highest,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,wealth,Lowest,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,wealth,Middle,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,wealth,Second highest,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,wealth,Second lowest,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,education,Higher,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,,37.2,,,,,,,,,93.7,,,,,94.5,,,,,,97.8,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,education,None,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,27.8,,,,,,,,,71.8,,,,,76,,,,,,76.3,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,education,Primary,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,,32.1,,,,,,,,,86.5,,,,,91.8,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,education,Secondary,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,,,33.4,,,,,,,,,92.7,,,,,94.6,,,,,,96.8,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,education,Secondary or higher,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,location,Rural,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,,,,,33.5,,,,,,,,,87.3,,,,,91.1,,,,,,96.9,,,,,,,19.86,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,location,Urban,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,,,,,,33.9,,,,,,,,,90,,,,,93.6,,,,,,95,,,,,,,36.59,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,mothers_age,20-34,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,93.1,,,,,,95.4,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,mothers_age,35-49,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6,,,,,91.4,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,mothers_age,Under 20,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,,,,,92.4,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,sex,Female,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,30.55,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,sex,Male,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,,,,,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,29.56,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,total,Total,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,33.8,,,,,,,,,89.1,,,,,92.8,,,,,,95.5,,,,,,,29.87,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,wealth,Highest,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,,,36.3,,,,,,,,,91.2,,,,,95.5,,,,,,97.4,,,,,,,45.66,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,wealth,Lowest,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,27.6,,,,,,,,,82.8,,,,,87.7,,,,,,91.5,,,,,,,18.37,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,wealth,Middle,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,37.2,,,,,,,,,90.5,,,,,94.5,,,,,,97.2,,,,,,,27.46,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,wealth,Second highest,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,,,,,,33.5,,,,,,,,,92.9,,,,,94.9,,,,,,96.3,,,,,,,38.29,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic,wealth,Second lowest,Latin America and the Caribbean,Caribbean,Intervention coverage,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,,,,,36,,,,,,,,,88.2,,,,,92.9,,,,,,95.7,,,,,,,18.43,,,,,,,,,,,,,,,,,,
DZA,Algeria,location,Rural,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.09,,,,,,
DZA,Algeria,location,Urban,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.94,,,,,,
DZA,Algeria,sex,Female,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.03,,,,,,
DZA,Algeria,sex,Male,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.18,,,,,,
DZA,Algeria,total,Total,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,,,,,,
DZA,Algeria,wealth,Highest,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.77,,,,,,
DZA,Algeria,wealth,Lowest,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.14,,,,,,
DZA,Algeria,wealth,Middle,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,,,,,
DZA,Algeria,wealth,Second highest,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,,,,,,
DZA,Algeria,wealth,Second lowest,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.48,,,,,,
EGY,Egypt,education,Higher,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,55.4,,,71.3,,74.9,,,58.6,,,,,,78.5,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,education,None,Africa,Northern Africa,Intervention coverage,0.7,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,13.7,,,31.9,,38.1,,,32.5,,,,,,52.1,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,education,Primary,Africa,Northern Africa,Intervention coverage,0.5,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,22.7,,,39.4,,44.7,,,36.5,,,,,,55.3,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,education,Secondary,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,34.8,,,56.7,,60.2,,,42.6,,,,,,68.7,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,education,Secondary or higher,Africa,Northern Africa,Intervention coverage,1,,,0.5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,location,Rural,Africa,Northern Africa,Intervention coverage,1.1,,,0.6,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,19.2,,,40.8,,47.2,,,36,,,,,,65.5,,,,,,46.56,,,66.2,,73.45,,,94.64,,,,,,84.9,,,,
EGY,Egypt,location,Urban,Africa,Northern Africa,Intervention coverage,0.7,,,0.1,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,,,,,,37.2,,,58,,62.6,,,50.3,,,,,,67.7,,,,,,65.37,,,92.15,,93.12,,,98.56,,,,,,94.22,,,,
EGY,Egypt,mothers_age,20-34,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,,,49.5,,54.4,,,42.1,,,,,,66.9,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,mothers_age,35-49,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,,,38.6,,44.5,,,39.4,,,,,,58.8,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,mothers_age,Under 20,Africa,Northern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,43.2,,52.4,,,39.1,,,,,,67.8,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,sex,Female,Africa,Northern Africa,Intervention coverage,0.8,,,0.2,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,52.16,,,77.93,,83.39,,,95.41,,,,,,88.83,,,,
EGY,Egypt,sex,Male,Africa,Northern Africa,Intervention coverage,0.8,,,0.4,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,56.41,,,79.37,,82.78,,,96.71,,,,,,88.71,,,,
EGY,Egypt,total,Total,Africa,Northern Africa,Intervention coverage,0.8,,,0.3,,,,,,1.7,,,,,,,94,92,-,93,94,90,93,87,68,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,7.6,,,,,,26.5,,,47.6,,53.1,,,41.5,,,,,,66.2,,,,,,55.91,,,79.19,,82.85,,,96.53,,,,,,88.72,,,,
EGY,Egypt,wealth,Highest,Africa,Northern Africa,Intervention coverage,0.3,,,1.5,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,50.3,,,67,,72.2,,,58.7,,,,,,73.5,,,,,,,,,96.22,,97.3,,,99.19,,,,,,97.03,,,,
EGY,Egypt,wealth,Lowest,Africa,Northern Africa,Intervention coverage,1.3,,,0.4,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,13.4,,,29.5,,34.4,,,32.2,,,,,,55.4,,,,,,,,,57.7,,61.83,,,89.67,,,,,,78.39,,,,
EGY,Egypt,wealth,Middle,Africa,Northern Africa,Intervention coverage,0.5,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,22.8,,,45.9,,53.7,,,36.5,,,,,,68.1,,,,,,,,,77.92,,81.59,,,97.69,,,,,,88.94,,,,
EGY,Egypt,wealth,Second highest,Africa,Northern Africa,Intervention coverage,1.6,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,29.5,,,58,,62.3,,,45.4,,,,,,70.4,,,,,,,,,88,,91.67,,,98.61,,,,,,93.25,,,,
EGY,Egypt,wealth,Second lowest,Africa,Northern Africa,Intervention coverage,0.2,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,16.1,,,38.5,,44,,,35,,,,,,62.1,,,,,,,,,66.44,,73.55,,,95.6,,,,,,82.33,,,,
ERI,Eritrea,education,Higher,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,education,None,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,education,Primary,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,education,Secondary,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,location,Rural,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,65.46,,,,,,,,81.19,,,,,,,,
ERI,Eritrea,location,Urban,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,,,,83.17,,,,,,,,95.22,,,,,,,,
ERI,Eritrea,mothers_age,20-34,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,mothers_age,35-49,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,mothers_age,Under 20,Africa,Eastern Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
