iso3,country,disaggregation,disagg.value,region,subregion,section,adolescent_obesity_2000,adolescent_obesity_2001,adolescent_obesity_2002,adolescent_obesity_2003,adolescent_obesity_2004,adolescent_obesity_2005,adolescent_obesity_2006,adolescent_obesity_2007,adolescent_obesity_2008,adolescent_obesity_2009,adolescent_obesity_2010,adolescent_obesity_2011,adolescent_obesity_2012,adolescent_obesity_2013,adolescent_obesity_2014,adolescent_obesity_2015,adolescent_obesity_2016,adolescent_obesity_2019,adolescent_overweight_2000,adolescent_overweight_2001,adolescent_overweight_2002,adolescent_overweight_2003,adolescent_overweight_2004,adolescent_overweight_2005,adolescent_overweight_2006,adolescent_overweight_2007,adolescent_overweight_2008,adolescent_overweight_2009,adolescent_overweight_2010,adolescent_overweight_2011,adolescent_overweight_2012,adolescent_overweight_2013,adolescent_overweight_2014,adolescent_overweight_2015,adolescent_overweight_2016,adolescent_overweight_2019,adolescent_thinness_2000,adolescent_thinness_2001,adolescent_thinness_2002,adolescent_thinness_2003,adolescent_thinness_2004,adolescent_thinness_2005,adolescent_thinness_2006,adolescent_thinness_2007,adolescent_thinness_2008,adolescent_thinness_2009,adolescent_thinness_2010,adolescent_thinness_2011,adolescent_thinness_2012,adolescent_thinness_2013,adolescent_thinness_2014,adolescent_thinness_2015,adolescent_thinness_2016,adolescent_thinness_2019
CUB,Cuba,sex,Boys Projection,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,14.11,,,,,,,,,,,,,,,,,31.37,33.47,,,,,,,,,,,,,,,,,3.51,3.5
CUB,Cuba,sex,Girls,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,6.9,7.12,7.34,7.55,7.76,7.98,8.19,8.41,8.63,8.85,9.07,9.3,9.54,9.78,10.04,10.3,10.56,,23.27,23.66,24.05,24.43,24.81,25.18,25.54,25.91,26.27,26.62,26.98,27.35,27.72,28.1,28.49,28.88,29.28,,2.95,2.95,2.94,2.94,2.95,2.96,2.97,2.99,3.01,3.03,3.06,3.1,3.13,3.17,3.22,3.27,3.33,
CUB,Cuba,sex,Girls Projection,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,11.42,,,,,,,,,,,,,,,,,29.28,30.53,,,,,,,,,,,,,,,,,3.33,3.54
CYP,Cyprus,sex,Boys,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,12.01,12.32,12.62,12.91,13.19,13.46,13.71,13.95,14.17,14.39,14.59,14.79,14.99,15.19,15.39,15.59,15.81,,30.85,31.35,31.83,32.28,32.7,33.1,33.48,33.84,34.17,34.49,34.8,35.11,35.41,35.71,36.01,36.33,36.65,,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.91,0.91,0.92,0.92,0.93,0.94,0.95,0.97,0.98,1,
CYP,Cyprus,sex,Boys Projection,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,16.55,,,,,,,,,,,,,,,,,36.65,37.73,,,,,,,,,,,,,,,,,1,1.07
CYP,Cyprus,sex,Girls,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,6.14,6.33,6.51,6.69,6.87,7.04,7.2,7.36,7.52,7.68,7.84,8,8.16,8.34,8.52,8.71,8.91,,24.53,24.94,25.33,25.71,26.07,26.42,26.76,27.09,27.41,27.73,28.05,28.37,28.69,29.02,29.36,29.7,30.06,,1.03,1.02,1.01,1,0.99,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.97,0.97,0.98,
CYP,Cyprus,sex,Girls Projection,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,9.53,,,,,,,,,,,,,,,,,30.06,31.15,,,,,,,,,,,,,,,,,0.98,1.02
CZE,Czechia,sex,Boys,Europe,Eastern Europe,Child and adolescent (aged 5-19) nutrition status,5.95,6.24,6.54,6.85,7.18,7.53,7.89,8.27,8.67,9.07,9.49,9.92,10.37,10.84,11.32,11.82,12.33,,21.37,21.89,22.42,22.98,23.56,24.16,24.79,25.45,26.12,26.82,27.53,28.26,29.02,29.79,30.57,31.37,32.18,,2.36,2.32,2.29,2.25,2.21,2.17,2.13,2.09,2.05,2,1.96,1.92,1.88,1.84,1.81,1.77,1.75,
CZE,Czechia,sex,Boys Projection,Europe,Eastern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,13.89,,,,,,,,,,,,,,,,,32.18,34.58,,,,,,,,,,,,,,,,,1.75,1.69
CZE,Czechia,sex,Girls,Europe,Eastern Europe,Child and adolescent (aged 5-19) nutrition status,3.2,3.33,3.48,3.63,3.8,3.97,4.15,4.34,4.54,4.74,4.95,5.18,5.41,5.65,5.91,6.17,6.45,,15.2,15.51,15.84,16.19,16.55,16.93,17.32,17.73,18.14,18.57,19.01,19.47,19.93,20.41,20.9,21.41,21.93,,2.31,2.28,2.24,2.21,2.18,2.15,2.12,2.09,2.06,2.04,2.01,1.99,1.97,1.95,1.94,1.93,1.93,
CZE,Czechia,sex,Girls Projection,Europe,Eastern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,7.34,,,,,,,,,,,,,,,,,21.93,23.52,,,,,,,,,,,,,,,,,1.93,1.92
DEU,Germany,sex,Boys,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,8.08,8.26,8.44,8.63,8.81,8.99,9.18,9.36,9.55,9.74,9.93,10.13,10.34,10.54,10.75,10.97,11.2,,24.17,24.48,24.78,25.07,25.35,25.61,25.88,26.14,26.39,26.64,26.88,27.12,27.36,27.6,27.85,28.09,28.35,,1.36,1.35,1.34,1.34,1.33,1.33,1.33,1.33,1.34,1.34,1.35,1.36,1.38,1.39,1.41,1.44,1.46,
DEU,Germany,sex,Boys Projection,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,11.93,,,,,,,,,,,,,,,,,28.35,29.25,,,,,,,,,,,,,,,,,1.46,1.54
DEU,Germany,sex,Girls,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,4.83,4.93,5.04,5.14,5.25,5.35,5.46,5.58,5.7,5.83,5.96,6.1,6.24,6.39,6.54,6.71,6.88,,21.37,21.59,21.8,22.01,22.21,22.41,22.6,22.8,22.99,23.19,23.39,23.6,23.81,24.02,24.24,24.47,24.71,,1.02,1.01,0.99,0.97,0.95,0.94,0.92,0.9,0.89,0.87,0.86,0.84,0.83,0.82,0.81,0.8,0.79,
DEU,Germany,sex,Girls Projection,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,7.43,,,,,,,,,,,,,,,,,24.71,25.47,,,,,,,,,,,,,,,,,0.79,0.79
DJI,Djibouti,sex,Boys,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,2.16,2.27,2.38,2.49,2.61,2.74,2.87,3,3.14,3.28,3.43,3.58,3.74,3.9,4.08,4.27,4.47,,8.97,9.19,9.42,9.65,9.88,10.11,10.33,10.57,10.8,11.03,11.27,11.51,11.77,12.03,12.31,12.61,12.92,,8.6,8.5,8.4,8.31,8.21,8.12,8.04,7.95,7.87,7.79,7.72,7.65,7.58,7.52,7.46,7.41,7.36,
DJI,Djibouti,sex,Boys Projection,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,5.14,,,,,,,,,,,,,,,,,12.92,13.96,,,,,,,,,,,,,,,,,7.36,7.26
DJI,Djibouti,sex,Girls,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,3.82,3.93,4.05,4.16,4.28,4.4,4.52,4.65,4.77,4.9,5.03,5.16,5.29,5.43,5.58,5.73,5.9,,16.79,17.07,17.35,17.63,17.91,18.19,18.46,18.74,19.01,19.27,19.54,19.82,20.1,20.38,20.67,20.97,21.29,,3.87,3.83,3.8,3.76,3.73,3.7,3.67,3.65,3.63,3.61,3.59,3.58,3.57,3.57,3.57,3.57,3.58,
DJI,Djibouti,sex,Girls Projection,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,6.43,,,,,,,,,,,,,,,,,21.29,22.27,,,,,,,,,,,,,,,,,3.58,3.62
DMA,Dominica,sex,Boys,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,7.15,7.5,7.87,8.25,8.65,9.06,9.5,9.95,10.41,10.89,11.38,11.9,12.42,12.96,13.51,14.07,14.64,,19.96,20.6,21.26,21.94,22.64,23.35,24.08,24.83,25.59,26.36,27.15,27.95,28.76,29.58,30.41,31.24,32.08,,3.7,3.64,3.58,3.52,3.46,3.4,3.34,3.29,3.24,3.19,3.14,3.1,3.07,3.04,3.01,2.99,2.98,
DMA,Dominica,sex,Boys Projection,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,16.43,,,,,,,,,,,,,,,,,32.08,34.72,,,,,,,,,,,,,,,,,2.98,2.93
DMA,Dominica,sex,Girls,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,9.06,9.43,9.8,10.17,10.55,10.94,11.33,11.74,12.14,12.56,12.97,13.39,13.81,14.24,14.68,15.12,15.56,,23.96,24.52,25.09,25.65,26.22,26.79,27.37,27.95,28.53,29.11,29.7,30.29,30.87,31.47,32.06,32.66,33.26,,2.29,2.28,2.26,2.25,2.24,2.24,2.24,2.24,2.24,2.25,2.26,2.28,2.3,2.32,2.35,2.38,2.42,
DMA,Dominica,sex,Girls Projection,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,16.99,,,,,,,,,,,,,,,,,33.26,35.17,,,,,,,,,,,,,,,,,2.42,2.54
DNK,Denmark,sex,Boys,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,7.91,8.02,8.13,8.24,8.35,8.45,8.56,8.66,8.75,8.84,8.93,9.02,9.1,9.19,9.28,9.37,9.48,,25.81,26,26.16,26.32,26.45,26.57,26.67,26.76,26.83,26.89,26.93,26.96,26.99,27.01,27.03,27.06,27.09,,1.26,1.25,1.23,1.22,1.21,1.2,1.19,1.18,1.18,1.18,1.18,1.18,1.18,1.19,1.19,1.2,1.22,
DNK,Denmark,sex,Boys Projection,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,9.83,,,,,,,,,,,,,,,,,27.09,27.34,,,,,,,,,,,,,,,,,1.22,1.25
DNK,Denmark,sex,Girls,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,5.13,5.12,5.11,5.09,5.07,5.05,5.03,5,4.98,4.96,4.94,4.92,4.91,4.9,4.9,4.9,4.9,,23.33,23.38,23.41,23.43,23.44,23.43,23.41,23.38,23.35,23.31,23.27,23.23,23.18,23.14,23.1,23.07,23.03,,1.12,1.11,1.09,1.07,1.05,1.03,1.01,0.99,0.97,0.95,0.93,0.92,0.9,0.88,0.87,0.85,0.84,
DNK,Denmark,sex,Girls Projection,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,4.93,,,,,,,,,,,,,,,,,23.03,23.01,,,,,,,,,,,,,,,,,0.84,0.83
DOM,Dominican Republic,sex,Boys,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,6.4,6.84,7.31,7.8,8.32,8.85,9.41,9.99,10.6,11.22,11.85,12.48,13.12,13.77,14.41,15.06,15.69,,18.04,18.87,19.74,20.63,21.54,22.48,23.43,24.4,25.37,26.36,27.35,28.32,29.28,30.22,31.15,32.07,32.97,,4.4,4.3,4.21,4.12,4.02,3.93,3.85,3.76,3.68,3.6,3.53,3.46,3.41,3.36,3.31,3.28,3.26,
DOM,Dominican Republic,sex,Boys Projection,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,17.97,,,,,,,,,,,,,,,,,32.97,36.24,,,,,,,,,,,,,,,,,3.26,3.14
DOM,Dominican Republic,sex,Girls,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,6.77,7.18,7.6,8.04,8.49,8.94,9.41,9.89,10.37,10.86,11.35,11.83,12.3,12.77,13.23,13.68,14.12,,21.19,21.91,22.63,23.37,24.12,24.86,25.61,26.36,27.1,27.84,28.57,29.27,29.96,30.63,31.27,31.9,32.5,,3.23,3.2,3.18,3.17,3.15,3.14,3.13,3.13,3.13,3.14,3.15,3.16,3.18,3.21,3.24,3.28,3.33,
DOM,Dominican Republic,sex,Girls Projection,Latin America and the Caribbean,Caribbean,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,15.84,,,,,,,,,,,,,,,,,32.5,34.88,,,,,,,,,,,,,,,,,3.33,3.44
DZA,Algeria,sex,Boys,Africa,Northern Africa,Child and adolescent (aged 5-19) nutrition status,5.82,6.26,6.72,7.19,7.68,8.17,8.66,9.17,9.68,10.19,10.71,11.23,11.75,12.27,12.8,13.33,13.87,,16.76,17.65,18.55,19.46,20.39,21.31,22.24,23.16,24.08,24.99,25.91,26.81,27.71,28.6,29.48,30.36,31.24,,8.43,8.29,8.16,8.03,7.91,7.8,7.69,7.6,7.51,7.42,7.33,7.25,7.17,7.1,7.04,6.98,6.94,
DZA,Algeria,sex,Boys Projection,Africa,Northern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,15.73,,,,,,,,,,,,,,,,,31.24,34.28,,,,,,,,,,,,,,,,,6.94,6.75
DZA,Algeria,sex,Girls,Africa,Northern Africa,Child and adolescent (aged 5-19) nutrition status,5.7,6.09,6.48,6.89,7.3,7.71,8.13,8.55,8.97,9.4,9.82,10.25,10.68,11.11,11.54,11.98,12.41,,19.8,20.51,21.22,21.92,22.61,23.29,23.95,24.6,25.24,25.87,26.49,27.11,27.7,28.29,28.88,29.46,30.03,,4.68,4.63,4.59,4.56,4.54,4.53,4.52,4.53,4.55,4.58,4.61,4.65,4.7,4.75,4.8,4.87,4.94,
DZA,Algeria,sex,Girls Projection,Africa,Northern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,13.97,,,,,,,,,,,,,,,,,30.03,32.12,,,,,,,,,,,,,,,,,4.94,5.11
ECU,Ecuador,sex,Boys,Latin America and the Caribbean,South America,Child and adolescent (aged 5-19) nutrition status,5.09,5.37,5.65,5.94,6.24,6.54,6.85,7.16,7.49,7.82,8.16,8.52,8.89,9.27,9.66,10.08,10.5,,16.74,17.37,17.99,18.62,19.25,19.88,20.52,21.16,21.81,22.47,23.14,23.82,24.51,25.21,25.92,26.65,27.39,,2.13,2.07,2.02,1.97,1.92,1.87,1.82,1.77,1.73,1.69,1.65,1.62,1.59,1.56,1.54,1.52,1.51,
ECU,Ecuador,sex,Boys Projection,Latin America and the Caribbean,South America,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,11.86,,,,,,,,,,,,,,,,,27.39,29.72,,,,,,,,,,,,,,,,,1.51,1.47
ECU,Ecuador,sex,Girls,Latin America and the Caribbean,South America,Child and adolescent (aged 5-19) nutrition status,4.07,4.28,4.5,4.72,4.94,5.17,5.41,5.65,5.9,6.15,6.42,6.7,6.99,7.29,7.61,7.94,8.28,,20.45,21,21.53,22.07,22.59,23.12,23.64,24.16,24.69,25.21,25.75,26.29,26.84,27.4,27.96,28.53,29.11,,1.09,1.06,1.04,1.01,0.99,0.96,0.95,0.93,0.91,0.9,0.89,0.88,0.87,0.87,0.87,0.87,0.87,
ECU,Ecuador,sex,Girls Projection,Latin America and the Caribbean,South America,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,9.38,,,,,,,,,,,,,,,,,29.11,30.96,,,,,,,,,,,,,,,,,0.87,0.88
EGY,Egypt,sex,Boys,Africa,Northern Africa,Child and adolescent (aged 5-19) nutrition status,8.27,8.73,9.2,9.66,10.13,10.6,11.05,11.51,11.96,12.42,12.87,13.32,13.77,14.23,14.7,15.18,15.66,,20.52,21.45,22.4,23.36,24.32,25.28,26.24,27.19,28.14,29.09,30.03,30.98,31.93,32.88,33.84,34.8,35.77,,5.06,4.94,4.82,4.7,4.59,4.49,4.38,4.29,4.19,4.1,4.01,3.92,3.83,3.74,3.66,3.59,3.52,
EGY,Egypt,sex,Boys Projection,Africa,Northern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,17.15,,,,,,,,,,,,,,,,,35.77,38.75,,,,,,,,,,,,,,,,,3.52,3.34
EGY,Egypt,sex,Girls,Africa,Northern Africa,Child and adolescent (aged 5-19) nutrition status,9.81,10.34,10.89,11.45,12.01,12.58,13.15,13.73,14.31,14.89,15.48,16.07,16.67,17.27,17.88,18.51,19.14,,24.59,25.42,26.24,27.06,27.86,28.67,29.45,30.24,31.01,31.78,32.56,33.33,34.1,34.88,35.66,36.45,37.25,,2.15,2.12,2.08,2.05,2.03,2.01,1.99,1.98,1.97,1.97,1.97,1.97,1.97,1.98,1.99,2,2.02,
EGY,Egypt,sex,Girls Projection,Africa,Northern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,21.04,,,,,,,,,,,,,,,,,37.25,39.63,,,,,,,,,,,,,,,,,2.02,2.06
ERI,Eritrea,sex,Boys,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,0.18,0.2,0.23,0.26,0.29,0.33,0.37,0.41,0.46,0.52,0.59,0.66,0.73,0.82,0.92,1.04,1.16,,2.09,2.25,2.42,2.59,2.78,2.99,3.2,3.43,3.67,3.92,4.19,4.48,4.79,5.12,5.47,5.85,6.26,,13.08,12.92,12.75,12.59,12.42,12.25,12.09,11.92,11.75,11.58,11.41,11.25,11.08,10.92,10.76,10.61,10.46,
ERI,Eritrea,sex,Boys Projection,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,,6.26,7.67,,,,,,,,,,,,,,,,,10.46,10.06
ERI,Eritrea,sex,Girls,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,0.63,0.7,0.78,0.86,0.96,1.06,1.17,1.29,1.42,1.56,1.71,1.88,2.05,2.24,2.45,2.67,2.91,,6.93,7.32,7.73,8.16,8.6,9.05,9.52,10.01,10.51,11.03,11.57,12.12,12.69,13.28,13.9,14.53,15.19,,7.28,7.19,7.1,7.01,6.92,6.83,6.74,6.65,6.57,6.48,6.39,6.3,6.22,6.15,6.07,6,5.94,
ERI,Eritrea,sex,Girls Projection,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,3.76,,,,,,,,,,,,,,,,,15.19,17.36,,,,,,,,,,,,,,,,,5.94,5.75
ESP,Spain,sex,Boys,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,9.83,10.05,10.27,10.47,10.68,10.88,11.08,11.27,11.46,11.64,11.81,11.98,12.15,12.32,12.49,12.67,12.85,,32.17,32.58,32.96,33.33,33.68,34.01,34.32,34.62,34.89,35.15,35.39,35.62,35.84,36.06,36.28,36.5,36.72,,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.71,0.71,0.72,0.73,
ESP,Spain,sex,Boys Projection,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,36.72,37.59,,,,,,,,,,,,,,,,,0.73,0.76
ESP,Spain,sex,Girls,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,5.43,5.6,5.76,5.93,6.11,6.28,6.45,6.62,6.79,6.96,7.13,7.3,7.47,7.64,7.82,8.01,8.2,,25.15,25.51,25.87,26.23,26.6,26.95,27.3,27.65,28,28.34,28.68,29.01,29.35,29.68,30.02,30.37,30.71,,0.49,0.48,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.4,
ESP,Spain,sex,Girls Projection,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,8.86,,,,,,,,,,,,,,,,,30.71,31.88,,,,,,,,,,,,,,,,,0.4,0.4
EST,Estonia,sex,Boys,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,3.76,3.9,4.06,4.23,4.41,4.61,4.81,5.03,5.26,5.51,5.76,6.04,6.32,6.62,6.94,7.27,7.63,,15.65,15.95,16.28,16.61,16.97,17.35,17.74,18.16,18.59,19.03,19.5,19.98,20.49,21.01,21.55,22.11,22.7,,2.33,2.29,2.24,2.2,2.15,2.1,2.05,2.01,1.96,1.92,1.88,1.84,1.81,1.78,1.75,1.73,1.71,
EST,Estonia,sex,Boys Projection,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,8.72,,,,,,,,,,,,,,,,,22.7,24.45,,,,,,,,,,,,,,,,,1.71,1.67
EST,Estonia,sex,Girls,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,2.89,2.95,3.03,3.11,3.19,3.28,3.37,3.46,3.57,3.67,3.78,3.9,4.03,4.16,4.3,4.46,4.62,,13.25,13.46,13.69,13.94,14.2,14.46,14.74,15.02,15.32,15.62,15.94,16.27,16.6,16.95,17.32,17.69,18.08,,2.78,2.71,2.64,2.58,2.51,2.45,2.39,2.34,2.29,2.24,2.2,2.16,2.12,2.09,2.06,2.03,2.01,
EST,Estonia,sex,Girls Projection,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,5.12,,,,,,,,,,,,,,,,,18.08,19.26,,,,,,,,,,,,,,,,,2.01,1.97
ETH,Ethiopia,sex,Boys,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,0.12,0.14,0.15,0.17,0.19,0.22,0.24,0.27,0.3,0.34,0.38,0.43,0.48,0.54,0.61,0.68,0.77,,1.69,1.81,1.94,2.07,2.21,2.35,2.5,2.65,2.82,3,3.18,3.38,3.6,3.83,4.08,4.35,4.65,,15.17,15.04,14.91,14.79,14.67,14.55,14.44,14.32,14.22,14.11,14.01,13.9,13.79,13.68,13.57,13.46,13.36,
ETH,Ethiopia,sex,Boys Projection,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,4.65,5.66,,,,,,,,,,,,,,,,,13.36,13.11
ETH,Ethiopia,sex,Girls,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,0.26,0.29,0.33,0.37,0.41,0.45,0.51,0.56,0.63,0.7,0.77,0.85,0.94,1.04,1.16,1.28,1.41,,5.57,5.89,6.22,6.57,6.92,7.29,7.67,8.07,8.49,8.92,9.37,9.83,10.32,10.82,11.35,11.89,12.46,,8.55,8.46,8.38,8.29,8.2,8.12,8.03,7.94,7.86,7.77,7.69,7.61,7.53,7.45,7.38,7.31,7.24,
ETH,Ethiopia,sex,Girls Projection,Africa,Eastern Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,12.46,14.32,,,,,,,,,,,,,,,,,7.24,7.07
FIN,Finland,sex,Boys,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,9.37,9.58,9.78,9.98,10.18,10.37,10.56,10.74,10.93,11.11,11.29,11.48,11.67,11.86,12.05,12.25,12.45,,25.95,26.28,26.6,26.89,27.16,27.41,27.64,27.85,28.06,28.25,28.44,28.62,28.8,28.98,29.16,29.34,29.54,,1.06,1.05,1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.04,1.04,1.05,1.06,1.07,1.08,1.1,1.12,
FIN,Finland,sex,Boys Projection,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,13.13,,,,,,,,,,,,,,,,,29.54,30.26,,,,,,,,,,,,,,,,,1.12,1.18
FIN,Finland,sex,Girls,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,4.17,4.27,4.36,4.44,4.53,4.61,4.69,4.77,4.86,4.94,5.03,5.12,5.21,5.31,5.41,5.52,5.64,,21.89,22.09,22.27,22.44,22.59,22.73,22.85,22.97,23.07,23.18,23.28,23.38,23.49,23.6,23.71,23.83,23.96,,0.76,0.75,0.74,0.73,0.72,0.71,0.71,0.7,0.69,0.68,0.67,0.67,0.66,0.66,0.65,0.65,0.65,
FIN,Finland,sex,Girls Projection,Europe,Northern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,6.02,,,,,,,,,,,,,,,,,23.96,24.41,,,,,,,,,,,,,,,,,0.65,0.66
FJI,Fiji,sex,Boys,Oceania,Melanesia,Child and adolescent (aged 5-19) nutrition status,5.09,5.4,5.73,6.06,6.39,6.74,7.09,7.44,7.81,8.19,8.58,8.99,9.41,9.85,10.3,10.76,11.23,,17.78,18.48,19.17,19.87,20.56,21.25,21.95,22.64,23.34,24.04,24.75,25.47,26.21,26.96,27.72,28.49,29.26,,5.04,4.99,4.94,4.89,4.85,4.81,4.77,4.73,4.7,4.67,4.64,4.62,4.6,4.58,4.57,4.57,4.57,
FJI,Fiji,sex,Boys Projection,Oceania,Melanesia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,12.76,,,,,,,,,,,,,,,,,29.26,31.74,,,,,,,,,,,,,,,,,4.57,4.58
FJI,Fiji,sex,Girls,Oceania,Melanesia,Child and adolescent (aged 5-19) nutrition status,6.04,6.36,6.69,7.01,7.34,7.67,7.99,8.31,8.64,8.96,9.29,9.63,9.97,10.33,10.69,11.06,11.43,,30.03,30.72,31.4,32.06,32.7,33.33,33.93,34.52,35.09,35.65,36.21,36.76,37.31,37.87,38.41,38.96,39.5,,3.39,3.35,3.33,3.3,3.27,3.25,3.23,3.22,3.2,3.19,3.18,3.18,3.17,3.17,3.18,3.19,3.21,
FJI,Fiji,sex,Girls Projection,Oceania,Melanesia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,12.67,,,,,,,,,,,,,,,,,39.5,41.27,,,,,,,,,,,,,,,,,3.21,3.28
FRA,France,sex,Boys,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,6.33,6.49,6.65,6.81,6.96,7.11,7.27,7.42,7.58,7.74,7.89,8.05,8.21,8.38,8.55,8.73,8.92,,26.6,26.95,27.29,27.62,27.94,28.25,28.55,28.83,29.12,29.4,29.67,29.94,30.2,30.46,30.73,31,31.27,,0.74,0.73,0.72,0.72,0.71,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.7,0.7,0.71,0.72,0.73,
FRA,France,sex,Boys Projection,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,9.57,,,,,,,,,,,,,,,,,31.27,32.29,,,,,,,,,,,,,,,,,0.73,0.77
FRA,France,sex,Girls,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,5,5.14,5.28,5.42,5.56,5.69,5.82,5.96,6.09,6.22,6.36,6.49,6.63,6.78,6.93,7.09,7.26,,24.02,24.36,24.69,25.01,25.33,25.64,25.94,26.24,26.54,26.83,27.12,27.4,27.69,27.98,28.27,28.57,28.86,,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.55,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.54,
FRA,France,sex,Girls Projection,Europe,Western Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,7.82,,,,,,,,,,,,,,,,,28.86,29.89,,,,,,,,,,,,,,,,,0.54,0.56
